UnitSetId,IsExchangeUnit,UniversityCountry,UniversityName,UniversityHref,UnitTitle,UnitCode,UnitHref,EquivalentUWAUnitLevel,IsEquivalent
0,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC3015,,1000,TRUE
0,TRUE,Canada,McMaster University,,Signal,ELECENG 3TP4,,1000,TRUE
1,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,MATH1001,,1000,TRUE
1,TRUE,China,Shanghai Jiatong University,,Applied calculus,VV225,,1000,TRUE
2,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC1002,,1000,TRUE
2,TRUE,China,Shanghai Jiatong University,,Introduction to Sold Mechanics,VM211,,1000,TRUE
3,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,GENG5507,,1000,TRUE
3,TRUE,Denmark,Technical University of Denmark,,System Safety,42171,,1000,TRUE
5,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,GENG5503,,1000,TRUE
5,TRUE,Denmark,Technical University of Denmark,,Robust,31320,,1000,TRUE
6,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ELEC5502,,1000,TRUE
6,TRUE,Denmark,Technical University of Denmark,,Intergrated Analog Electronics,31631/31632,,1000,TRUE
9,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ELEC4402,,1000,TRUE
9,TRUE,Denmark,Technical University of Denmark,,Digital Communication,6532,,1000,TRUE
10,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,GENG5507,,1000,TRUE
10,TRUE,Denmark,Technical University of Denmark,,System Safety,42171,,1000,TRUE
11,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC3003,,1000,TRUE
11,TRUE,UK,Cardiff University,,Fluid Mechanics,EN3034,,1000,TRUE
12,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC2002,,1000,TRUE
12,TRUE,UK,University of Bristol,,Thermodynamics I,MENG11202,,1000,TRUE
12,TRUE,UK,University of Bristol,,Linear Circuits ,EENG11001,,1000,TRUE
13,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC3017,,1000,TRUE
13,TRUE,USA,University of Illonois,,Introduction to Electronics,ECE110,,1000,TRUE
14,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC3016,,1000,TRUE
14,TRUE,Canada,McMaster University,,Energy Conversion,EELECENG 3PI4,,1000,TRUE
15,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,MATH3031,,1000,TRUE
15,TRUE,Canada,McMaster University,,Discrete Dynamical Sys. Chaos,MATH3DC3,,1000,TRUE
16,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,MATH3022,,1000,TRUE
16,TRUE,Canada,McMaster University,,Partial Diff. Equations,MATH3FF3,,1000,TRUE
17,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,MECH4424,,1000,TRUE
17,TRUE,Norway,Norwegian University of Science and Technology,,Measurement Techniques,TFY4185,,1000,TRUE
18,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,MECH4426,,1000,TRUE
18,TRUE,Norway,Norwegian University of Science and Technology,,Dynamics,TKT4108,,1000,TRUE
